thread start:0
thread start:1
thread start:2
thread start:3
thread start:4
thread start:5
thread start:6
thread start:7
thread start:8
thread start:9
value, 1494575558015
20170512 15:53:57.701695----lock failed,ID:8
20170512 15:53:58.145385----DELLock Lock_1,ID:3
20170512 15:53:58.145392----DELLock Lock_2,ID:3
20170512 15:53:58.145604----DELLock Lock_3,ID:3
20170512 15:53:58.157576----GetLock Lock_1,ID:0
20170512 15:53:58.222084----lock failed,ID:6
20170512 15:53:58.657744----DELLock Lock_1,ID:0
20170512 15:53:58.657763----DELLock Lock_2,ID:0
20170512 15:53:58.658003----DELLock Lock_3,ID:0
20170512 15:53:58.671924----GetLock Lock_1,ID:1
20170512 15:53:58.761812----lock failed,ID:7
20170512 15:53:59.172126----DELLock Lock_1,ID:1
20170512 15:53:59.172138----DELLock Lock_2,ID:1
20170512 15:53:59.175558----DELLock Lock_3,ID:1
20170512 15:53:59.177035----GetLock Lock_1,ID:8
20170512 15:53:59.242842----lock failed,ID:5
20170512 15:53:59.677151----DELLock Lock_1,ID:8
20170512 15:53:59.677158----DELLock Lock_2,ID:8
20170512 15:53:59.677334----DELLock Lock_3,ID:8
20170512 15:53:59.681341----GetLock Lock_1,ID:2
20170512 15:53:59.719191----lock failed,ID:4
20170512 15:54:00.181540----DELLock Lock_1,ID:2
20170512 15:54:00.181549----DELLock Lock_2,ID:2
20170512 15:54:00.181809----DELLock Lock_3,ID:2
20170512 15:54:00.184425----GetLock Lock_1,ID:0
20170512 15:54:00.684576----DELLock Lock_1,ID:0
20170512 15:54:00.684585----DELLock Lock_2,ID:0
20170512 15:54:00.684775----DELLock Lock_3,ID:0
20170512 15:54:00.701634----GetLock Lock_1,ID:6
20170512 15:54:00.710593----lock failed,ID:9
20170512 15:54:01.202315----DELLock Lock_1,ID:6
20170512 15:54:01.202324----DELLock Lock_2,ID:6
20170512 15:54:01.202705----DELLock Lock_3,ID:6
20170512 15:54:01.212065----GetLock Lock_1,ID:9
20170512 15:54:01.713343----DELLock Lock_1,ID:9
20170512 15:54:01.713351----DELLock Lock_2,ID:9
20170512 15:54:01.713555----DELLock Lock_3,ID:9
20170512 15:54:01.718290----GetLock Lock_1,ID:1
20170512 15:54:02.218372----DELLock Lock_1,ID:1
20170512 15:54:02.218381----DELLock Lock_2,ID:1
20170512 15:54:02.218676----DELLock Lock_3,ID:1
20170512 15:54:02.221342----GetLock Lock_1,ID:7
20170512 15:54:02.721434----DELLock Lock_1,ID:7
20170512 15:54:02.721443----DELLock Lock_2,ID:7
20170512 15:54:02.721656----DELLock Lock_3,ID:7
20170512 15:54:02.725655----GetLock Lock_1,ID:5
20170512 15:54:02.762121----lock failed,ID:3
20170512 15:54:03.225791----DELLock Lock_1,ID:5
20170512 15:54:03.225797----DELLock Lock_2,ID:5
20170512 15:54:03.225985----DELLock Lock_3,ID:5
20170512 15:54:03.242763----GetLock Lock_1,ID:9
20170512 15:54:03.743532----DELLock Lock_1,ID:9
20170512 15:54:03.743553----DELLock Lock_2,ID:9
20170512 15:54:03.743834----DELLock Lock_3,ID:9
20170512 15:54:03.751112----GetLock Lock_1,ID:2
20170512 15:54:04.251910----DELLock Lock_1,ID:2
20170512 15:54:04.251932----DELLock Lock_2,ID:2
20170512 15:54:04.252265----DELLock Lock_3,ID:2
20170512 15:54:04.259453----GetLock Lock_1,ID:5
20170512 15:54:04.296593----lock failed,ID:8
20170512 15:54:04.328660----lock failed,ID:4
20170512 15:54:04.760286----DELLock Lock_1,ID:5
20170512 15:54:04.760294----DELLock Lock_2,ID:5
20170512 15:54:04.760536----DELLock Lock_3,ID:5
20170512 15:54:04.797272----GetLock Lock_1,ID:8
20170512 15:54:05.297371----DELLock Lock_1,ID:8
20170512 15:54:05.297380----DELLock Lock_2,ID:8
20170512 15:54:05.297641----DELLock Lock_3,ID:8
20170512 15:54:05.305606----GetLock Lock_1,ID:7
20170512 15:54:05.326084----lock failed,ID:0
20170512 15:54:05.805979----DELLock Lock_1,ID:7
20170512 15:54:05.805990----DELLock Lock_2,ID:7
20170512 15:54:05.806258----DELLock Lock_3,ID:7
20170512 15:54:05.819730----lock failed,ID:6
20170512 15:54:05.822687----GetLock Lock_1,ID:5
20170512 15:54:06.323443----DELLock Lock_1,ID:5
20170512 15:54:06.323451----DELLock Lock_2,ID:5
20170512 15:54:06.325980----DELLock Lock_3,ID:5
20170512 15:54:06.326382----GetLock Lock_1,ID:4
20170512 15:54:06.826476----DELLock Lock_1,ID:4
20170512 15:54:06.826484----DELLock Lock_2,ID:4
20170512 15:54:06.826675----DELLock Lock_3,ID:4
20170512 15:54:06.827380----GetLock Lock_1,ID:5
20170512 15:54:06.841849----lock failed,ID:1
20170512 15:54:07.328197----DELLock Lock_1,ID:5
20170512 15:54:07.328202----DELLock Lock_2,ID:5
20170512 15:54:07.328446----DELLock Lock_3,ID:5
20170512 15:54:07.330376----GetLock Lock_1,ID:2
20170512 15:54:07.340870----lock failed,ID:3
20170512 15:54:07.830579----DELLock Lock_1,ID:2
20170512 15:54:07.830585----DELLock Lock_2,ID:2
20170512 15:54:07.830772----DELLock Lock_3,ID:2
20170512 15:54:07.842460----GetLock Lock_1,ID:3
20170512 15:54:08.337630----lock failed,ID:9
20170512 15:54:08.342977----DELLock Lock_1,ID:3
20170512 15:54:08.342987----DELLock Lock_2,ID:3
20170512 15:54:08.343287----DELLock Lock_3,ID:3
20170512 15:54:08.349819----GetLock Lock_1,ID:0
20170512 15:54:08.850678----DELLock Lock_1,ID:0
20170512 15:54:08.850686----DELLock Lock_2,ID:0
20170512 15:54:08.850909----DELLock Lock_3,ID:0
20170512 15:54:08.856203----GetLock Lock_1,ID:6
20170512 15:54:09.356383----DELLock Lock_1,ID:6
20170512 15:54:09.356392----DELLock Lock_2,ID:6
20170512 15:54:09.356642----DELLock Lock_3,ID:6
20170512 15:54:09.357235----GetLock Lock_1,ID:8
20170512 15:54:09.857415----DELLock Lock_1,ID:8
20170512 15:54:09.857421----DELLock Lock_2,ID:8
20170512 15:54:09.857618----DELLock Lock_3,ID:8
20170512 15:54:09.869773----GetLock Lock_1,ID:6
20170512 15:54:10.370463----DELLock Lock_1,ID:6
20170512 15:54:10.370478----DELLock Lock_2,ID:6
20170512 15:54:10.370745----DELLock Lock_3,ID:6
20170512 15:54:10.376079----GetLock Lock_1,ID:8
20170512 15:54:10.415888----lock failed,ID:7
20170512 15:54:10.876174----DELLock Lock_1,ID:8
20170512 15:54:10.876182----DELLock Lock_2,ID:8
20170512 15:54:10.876389----DELLock Lock_3,ID:8
20170512 15:54:10.879851----GetLock Lock_1,ID:0
20170512 15:54:11.380548----DELLock Lock_1,ID:0
20170512 15:54:11.380554----DELLock Lock_2,ID:0
20170512 15:54:11.380796----DELLock Lock_3,ID:0
20170512 15:54:11.383452----GetLock Lock_1,ID:3
20170512 15:54:11.396620----lock failed,ID:4
20170512 15:54:11.461953----lock failed,ID:1
20170512 15:54:11.884275----DELLock Lock_1,ID:3
20170512 15:54:11.884283----DELLock Lock_2,ID:3
20170512 15:54:11.884489----DELLock Lock_3,ID:3
20170512 15:54:11.885094----GetLock Lock_1,ID:6
20170512 15:54:11.914965----lock failed,ID:5
20170512 15:54:12.385302----DELLock Lock_1,ID:6
20170512 15:54:12.385315----DELLock Lock_2,ID:6
20170512 15:54:12.385585----GetLock Lock_1,ID:3
20170512 15:54:12.385667----DELLock Lock_3,ID:6
20170512 15:54:12.427995----lock failed,ID:2
20170512 15:54:12.885676----DELLock Lock_1,ID:3
20170512 15:54:12.885685----DELLock Lock_2,ID:3
20170512 15:54:12.885920----DELLock Lock_3,ID:3
20170512 15:54:12.886529----GetLock Lock_1,ID:6
20170512 15:54:12.992453----lock failed,ID:9
20170512 15:54:13.386707----DELLock Lock_1,ID:6
20170512 15:54:13.386713----DELLock Lock_2,ID:6
20170512 15:54:13.386920----DELLock Lock_3,ID:6
20170512 15:54:13.397755----GetLock Lock_1,ID:0
20170512 15:54:13.898430----DELLock Lock_1,ID:0
20170512 15:54:13.898440----DELLock Lock_2,ID:0
20170512 15:54:13.898649----DELLock Lock_3,ID:0
20170512 15:54:13.903305----GetLock Lock_1,ID:2
20170512 15:54:14.403490----DELLock Lock_1,ID:2
20170512 15:54:14.403499----DELLock Lock_2,ID:2
20170512 15:54:14.403759----DELLock Lock_3,ID:2
20170512 15:54:14.405436----GetLock Lock_1,ID:1
20170512 15:54:14.905844----DELLock Lock_1,ID:1
20170512 15:54:14.905851----DELLock Lock_2,ID:1
20170512 15:54:14.906047----DELLock Lock_3,ID:1
20170512 15:54:14.915562----GetLock Lock_1,ID:9
20170512 15:54:15.013290----lock failed,ID:7
20170512 15:54:15.416220----DELLock Lock_1,ID:9
20170512 15:54:15.416228----DELLock Lock_2,ID:9
20170512 15:54:15.416479----DELLock Lock_3,ID:9
20170512 15:54:15.418458----GetLock Lock_1,ID:5
20170512 15:54:15.468943----lock failed,ID:8
20170512 15:54:15.919307----DELLock Lock_1,ID:5
20170512 15:54:15.919319----DELLock Lock_2,ID:5
20170512 15:54:15.919587----DELLock Lock_3,ID:5
20170512 15:54:15.924187----GetLock Lock_1,ID:4
20170512 15:54:16.424323----DELLock Lock_1,ID:4
20170512 15:54:16.424330----DELLock Lock_2,ID:4
20170512 15:54:16.424605----DELLock Lock_3,ID:4
20170512 15:54:16.426529----GetLock Lock_1,ID:0
20170512 15:54:16.926701----DELLock Lock_1,ID:0
20170512 15:54:16.926709----DELLock Lock_2,ID:0
20170512 15:54:16.926953----DELLock Lock_3,ID:0
20170512 15:54:16.938274----GetLock Lock_1,ID:3
20170512 15:54:17.438405----DELLock Lock_1,ID:3
20170512 15:54:17.438412----DELLock Lock_2,ID:3
20170512 15:54:17.438637----DELLock Lock_3,ID:3
20170512 15:54:17.446050----GetLock Lock_1,ID:2
20170512 15:54:17.946790----DELLock Lock_1,ID:2
20170512 15:54:17.946798----DELLock Lock_2,ID:2
20170512 15:54:17.947022----DELLock Lock_3,ID:2
20170512 15:54:17.951817----GetLock Lock_1,ID:5
20170512 15:54:18.023510----lock failed,ID:6
20170512 15:54:18.453163----DELLock Lock_1,ID:5
20170512 15:54:18.453171----DELLock Lock_2,ID:5
20170512 15:54:18.453523----DELLock Lock_3,ID:5
20170512 15:54:18.465450----GetLock Lock_1,ID:0
20170512 15:54:18.965615----DELLock Lock_1,ID:0
20170512 15:54:18.965626----DELLock Lock_2,ID:0
20170512 15:54:18.965866----DELLock Lock_3,ID:0
20170512 15:54:18.969120----GetLock Lock_1,ID:1
20170512 15:54:19.469676----DELLock Lock_1,ID:1
20170512 15:54:19.469685----DELLock Lock_2,ID:1
20170512 15:54:19.469969----DELLock Lock_3,ID:1
20170512 15:54:19.472591----GetLock Lock_1,ID:2
20170512 15:54:19.650801----lock failed,ID:7
20170512 15:54:19.973088----DELLock Lock_1,ID:2
20170512 15:54:19.973098----DELLock Lock_2,ID:2
20170512 15:54:19.973333----DELLock Lock_3,ID:2
20170512 15:54:19.977527----GetLock Lock_1,ID:4
20170512 15:54:20.040371----lock failed,ID:9
20170512 15:54:20.048982----lock failed,ID:8
20170512 15:54:20.477830----DELLock Lock_1,ID:4
20170512 15:54:20.478201----DELLock Lock_2,ID:4
20170512 15:54:20.478496----DELLock Lock_3,ID:4
20170512 15:54:20.509538----GetLock Lock_1,ID:0
20170512 15:54:21.009857----DELLock Lock_1,ID:0
20170512 15:54:21.009864----DELLock Lock_2,ID:0
20170512 15:54:21.010058----DELLock Lock_3,ID:0
20170512 15:54:21.017436----GetLock Lock_1,ID:4
20170512 15:54:21.517925----DELLock Lock_1,ID:4
20170512 15:54:21.517934----DELLock Lock_2,ID:4
20170512 15:54:21.518175----DELLock Lock_3,ID:4
20170512 15:54:21.518783----GetLock Lock_1,ID:1
20170512 15:54:22.019348----DELLock Lock_1,ID:1
20170512 15:54:22.019356----DELLock Lock_2,ID:1
20170512 15:54:22.019550----DELLock Lock_3,ID:1
20170512 15:54:22.024352----GetLock Lock_1,ID:6
20170512 15:54:22.071967----lock failed,ID:3
20170512 15:54:22.524760----DELLock Lock_1,ID:6
20170512 15:54:22.524768----DELLock Lock_2,ID:6
20170512 15:54:22.525075----DELLock Lock_3,ID:6
20170512 15:54:22.526226----GetLock Lock_1,ID:5
20170512 15:54:23.026823----DELLock Lock_1,ID:5
20170512 15:54:23.027211----DELLock Lock_2,ID:5
20170512 15:54:23.027417----DELLock Lock_3,ID:5
20170512 15:54:23.039729----GetLock Lock_1,ID:3
20170512 15:54:23.540226----DELLock Lock_1,ID:3
20170512 15:54:23.540236----DELLock Lock_2,ID:3
20170512 15:54:23.540601----DELLock Lock_3,ID:3
20170512 15:54:23.543912----GetLock Lock_1,ID:5
20170512 15:54:24.044295----DELLock Lock_1,ID:5
20170512 15:54:24.044303----DELLock Lock_2,ID:5
20170512 15:54:24.044511----DELLock Lock_3,ID:5
20170512 15:54:24.050686----GetLock Lock_1,ID:8
20170512 15:54:24.300770----lock failed,ID:7
20170512 15:54:24.551035----DELLock Lock_1,ID:8
20170512 15:54:24.551043----DELLock Lock_2,ID:8
20170512 15:54:24.551302----DELLock Lock_3,ID:8
20170512 15:54:24.555201----GetLock Lock_1,ID:4
20170512 15:54:24.640921----lock failed,ID:2
20170512 15:54:24.676905----lock failed,ID:9
20170512 15:54:25.055784----DELLock Lock_1,ID:4
20170512 15:54:25.055793----DELLock Lock_2,ID:4
20170512 15:54:25.056005----DELLock Lock_3,ID:4
20170512 15:54:25.072075----GetLock Lock_1,ID:1
20170512 15:54:25.572496----DELLock Lock_1,ID:1
20170512 15:54:25.572504----DELLock Lock_2,ID:1
20170512 15:54:25.572748----DELLock Lock_3,ID:1
20170512 15:54:25.576746----GetLock Lock_1,ID:7
20170512 15:54:25.623780----lock failed,ID:0
20170512 15:54:26.077268----DELLock Lock_1,ID:7
20170512 15:54:26.077285----DELLock Lock_2,ID:7
20170512 15:54:26.077670----DELLock Lock_3,ID:7
20170512 15:54:26.095685----GetLock Lock_1,ID:5
20170512 15:54:26.595962----DELLock Lock_1,ID:5
20170512 15:54:26.595969----DELLock Lock_2,ID:5
20170512 15:54:26.596158----DELLock Lock_3,ID:5
20170512 15:54:26.616526----GetLock Lock_1,ID:6
20170512 15:54:27.116671----DELLock Lock_1,ID:6
20170512 15:54:27.116678----DELLock Lock_2,ID:6
20170512 15:54:27.116866----DELLock Lock_3,ID:6
20170512 15:54:27.126236----GetLock Lock_1,ID:9
20170512 15:54:27.626744----DELLock Lock_1,ID:9
20170512 15:54:27.626753----DELLock Lock_2,ID:9
20170512 15:54:27.626960----DELLock Lock_3,ID:9
20170512 15:54:27.641993----GetLock Lock_1,ID:4
20170512 15:54:28.121508----lock failed,ID:3
20170512 15:54:28.142162----DELLock Lock_1,ID:4
20170512 15:54:28.142186----DELLock Lock_2,ID:4
20170512 15:54:28.142525----DELLock Lock_3,ID:4
20170512 15:54:28.148356----GetLock Lock_1,ID:2
20170512 15:54:28.648884----DELLock Lock_1,ID:2
20170512 15:54:28.648891----DELLock Lock_2,ID:2
20170512 15:54:28.649091----DELLock Lock_3,ID:2
20170512 15:54:28.651105----GetLock Lock_1,ID:0
20170512 15:54:29.151417----DELLock Lock_1,ID:0
20170512 15:54:29.151426----DELLock Lock_2,ID:0
20170512 15:54:29.151866----DELLock Lock_3,ID:0
20170512 15:54:29.157420----lock failed,ID:8
20170512 15:54:29.158401----GetLock Lock_1,ID:7
20170512 15:54:29.659131----DELLock Lock_1,ID:7
20170512 15:54:29.659138----DELLock Lock_2,ID:7
20170512 15:54:29.659333----DELLock Lock_3,ID:7
20170512 15:54:29.661993----GetLock Lock_1,ID:1
20170512 15:54:30.162158----DELLock Lock_1,ID:1
20170512 15:54:30.162166----DELLock Lock_2,ID:1
20170512 15:54:30.162923----DELLock Lock_3,ID:1
20170512 15:54:30.170641----GetLock Lock_1,ID:5
20170512 15:54:30.671222----DELLock Lock_1,ID:5
